17 19
4 51
57 44
54 3
11 55
21 49
92 40
11 22
53 43
58 82
25 4
78 97
31 95
33 66
40 24
27 25
26 83
91 47
15 95
74 3
3 26
40 23
25 60
33 61
82 44
80 87
16 50
48 37
41 55
78 95
85 90
10 47
87 99
27 62
91 95
40 61
61 19
58 53
52 88
54 94
98 52
5 33
90 63
75 31
67 88
12 38
69 39
96 28
6 15
23 6
38 66
51 38
3 53
93 91
69 90
78 99
47 72
45 93
98 19
52 97
51 91
77 46
95 60
94 99
10 58
16 32
19 90
31 1
72 70
15 80
10 7
29 78
25 78
49 98
75 12
36 59
8 66
15 41
73 58
51 27
53 72
14 82
40 96
80 74
25 31
6 85
24 86
43 66
16 48
55 78
63 54
78 72
71 16
17 6
61 95
99 80
31 73
5 41
11 85
41 50
82 0
4 8
5 80
34 16
13 37
60 62
73 81
73 72
65 32
0 89
22 52
72 80
11 91
16 50
78 25
83 60
64 43
15 61
91 85
93 99
15 39
36 8
62 74
74 16
96 42
79 41
86 2
5 62
